Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
218779_x_at,EPS8L1,ENSG00000131037,18143,2720.7905,-2.36313,0.0024,1.00E-04,
212453_at,KIAA1279,ENSG00000198954,11838,2722.7128,-2.36953,0.0024,1.00E-04,
212509_s_at,MXRA7,ENSG00000182534,11894,2722.7869,-2.40344,0.0024,1.00E-04,
205665_at,TSPAN9,ENSG00000011105,5192,2725.26,-2.43007,0.0024,1.00E-04,
209848_s_at,PMEL,ENSG00000185664,9334,2725.315,-2.28374,0.0024,1.00E-04,
202500_at,DNAJB2,ENSG00000135924,2028,2727.206,-2.46109,0.0024,1.00E-04,
209222_s_at,OSBPL2,ENSG00000130703,8716,2727.7779,-2.34226,0.0024,1.00E-04,
216511_s_at,TCF7L2,ENSG00000148737,15882,2728.6304,-2.63317,0.0024,1.00E-04,
218533_s_at,UCKL1,ENSG00000198276,17898,2728.7709,-2.27931,0.0024,1.00E-04,
213111_at,PIKFYVE,ENSG00000115020,12494,2729.5801,-2.35659,0.0025,1.00E-04,
209618_at,CTNND2,ENSG00000169862,9108,2730.8301,-2.41362,0.0025,1.00E-04,
214082_at,CA5B,ENSG00000169239,13461,2731.5335,-2.50186,0.0025,1.00E-04,
217918_at,DYNLRB1,ENSG00000125971,17283,2733.9124,-2.36313,0.0025,1.00E-04,
201285_at,MKRN1,ENSG00000133606,813,2734.517,-2.35169,0.0025,1.00E-04,
203892_at,WFDC2,ENSG00000101443,3419,2735.8699,-2.19299,0.0025,1.00E-04,
202838_at,FUCA1,ENSG00000179163,2366,2737.6668,-2.36936,0.0025,1.00E-04,
200838_at,CTSB,ENSG00000164733,366,2740.2723,-2.22669,0.0025,1.00E-04,
209782_s_at,DBP,ENSG00000105516,9270,2746.4217,-2.40261,0.0026,2.00E-04,
219603_s_at,ZNF226,ENSG00000167380,18967,2750.0369,-2.46161,0.0026,2.00E-04,
211922_s_at,CAT,ENSG00000121691,11310,2753.3854,-2.35447,0.0027,2.00E-04,
201287_s_at,SDC1,ENSG00000115884,815,2758.1647,-2.3033,0.0027,2.00E-04,
219919_s_at,SSH3,ENSG00000172830,19283,2759.2399,-2.4502,0.0027,2.00E-04,
204600_at,EPHB3,ENSG00000182580,4127,2759.6467,-2.28897,0.0027,2.00E-04,
201542_at,SAR1A,ENSG00000079332,1070,2760.4668,-2.53661,0.0027,2.00E-04,
202117_at,ARHGAP1,ENSG00000175220,1645,2761.8464,-2.46536,0.0027,2.00E-04,
218634_at,PHLDA3,ENSG00000174307,17999,2762.688,-2.3738,0.0027,2.00E-04,
201170_s_at,BHLHE40,ENSG00000134107,698,2763.2101,-2.54488,0.0027,2.00E-04,
206925_at,ST8SIA4,ENSG00000113532,6451,2764.5042,-2.38915,0.0028,2.00E-04,
219072_at,BCL7C,ENSG00000099385,18436,2764.7297,-2.32431,0.0028,2.00E-04,
214730_s_at,GLG1,ENSG00000090863,14106,2765.4356,-2.28548,0.0028,2.00E-04,
204462_s_at,SLC16A2,ENSG00000147100,3989,2766.1414,-2.67382,0.0028,2.00E-04,
208685_x_at,BRD2,ENSG00000204256,8180,2767.9878,-2.28596,0.0028,2.00E-04,
214415_at,PLG,ENSG00000122194,13794,2769.6873,-2.22684,0.0028,2.00E-04,
214743_at,CUX1,ENSG00000160967,14119,2769.8045,-2.44884,0.0028,2.00E-04,
202002_at,ACAA2,ENSG00000167315,1530,2770.1269,-2.20702,0.0028,2.00E-04,
212441_at,KIAA0232,ENSG00000170871,11826,2770.1779,-2.28548,0.0028,2.00E-04,
204550_x_at,GSTM1,ENSG00000134184,4077,2770.4642,-2.44647,0.0028,2.00E-04,
208703_s_at,APLP2,ENSG00000084234,8198,2770.65,-2.27206,0.0028,2.00E-04,
213568_at,OSR2,ENSG00000164920,12949,2773.7687,-2.54859,0.0028,2.00E-04,
